key,title,description,tabdefaultclassification,classification_status,tag,documentation status,steward:groupprofile,steward:user,processinglocation,index name,is_primary_key_manual,processingcapability,gdpr,is_cdc,coldefaultclassification,under retention,iac classification,intuit_classification,processing3rdparty,table_documentation,processingcategory
tax_rpt.rpt_customer_extension_filings,Customer Extension Filings,<p>This table is populated with records of customers filing tax exntensions.</p>,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.rpt_document_service_attribute,Document Service Attribute,"<div><p>This table is based on documents (where doc_id is unique) uploaded through Turbo Tax Live through four upload mechanisms: </p><ol><li>Documents uploaded through the FS Onboarding Widget </li><li>Documents uploaded through Smart Docs and Doc Uploader Widget</li><li>Documents uploaded via Request Widget</li><li>Documents uploaded via Import Widget</li></ol><p>For each Document, other information is pulled from the FDP backend pertaining to the document. Please see the table here: <a href=""https://wiki.intuit.com/display/IDataEng/ODE-TTL-FS-DOC-MGMT+Design#ODETTLFSDOCMGMTDesign-BusinessLogic"">https://wiki.intuit.com/display/IDataEng/ODE-TTL-FS-DOC-MGMT+Design#ODETTLFSDOCMGMTDesign-BusinessLogic</a> to find the attributes pulled from FDP backend.  </p></div>",N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.rpt_testing_analytics_master_auth,Testing Analytics Master Auth,<p>This table contains the analytics data for product experiments when there is an authenticated user</p>,N/A,,null,,,dponce1;pvalia;ollib783,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.rpt_testing_analytics_master_auth2,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.rpt_testing_analytics_master_mobile,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.rpt_testing_analytics_master_visitor,Testing Analytics Master Visitor,<p>This table contains the analytics data for product experiments when there is no authenticated user i.e. when the user is a visitor to the site</p>,N/A,,null,,,bcheung1;ollib783,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.rpt_testing_analytics_master_visitor_backup,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.rpt_testing_analytics_master_visitor_bkp,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.rpt_testing_analytics_master_visitor_bkp_11_01_2021,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.rpt_testing_analytics_master_visitor_bkp_2019,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.rpt_testing_analytics_master_visitor_bkp_test,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.rpt_testing_analytics_master_visitor_tbkp,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.rpt_testing_analytics_master_visitor_test,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.start_sku,Start Sku,<p>This table maintains the very first sku the authenticated customer started in. The table is aggregated on auth id and tax year</p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,rjohn,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_rpt.start_sku_cgde_43429,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.t1,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.temp1,Temp 1,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.temp2,Temp 2,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.testing_analytics_master_auth_tax_rpt,,,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_rpt.testing_analytics_master_visitor,Testing Analytics Master Visitor,,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_rpt.tmp_first_complete_timestamp,Temp First Complete Timestamp,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.tmp_marketing1b,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.ttl_activity_daily,TurboTax Live Activity Daily,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.ttl_activity_daily_bkp,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.ttl_activity_daily_snapshot,Total Activity Daily Snapshot,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.ttl_agg_auth_master,TTL AGG AUTH MASTER,<p>A summary of each auth's usage of TTL for each tax year.This table is part of the ttl daily activity pipeline</p>,N/A,,null,,,rkulkarni;pleslie1;aakolkar;lperry4,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.ttl_agg_auth_master_bkp,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.ttl_agg_auth_master_snapshot,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.ttl_auth_entitlement_daily,TTL Auth Entitlement Daily,<p>This table records user's entitlements on a day by day granularity.</p>,N/A,,null,,,rkulkarni;pleslie1;aakolkar;lperry4,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.fi_mktg.product_rollup,Product Rollup,<p>Product Rollup</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.fi_mktg.cid,CID,<p>CID</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.fi_mktg.channel_group,Channel Group,<p>Channel Group</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.fi_mktg.reporting_date,Reporting Date,<p>Reporting Date</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.fi_mktg.new_existing,New Existing,<p>New Existing</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.fi_mktg.neauths,Neauths,<p>Neauths</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.fi_mktg.tax_date,Tax Date,<p>Tax Date</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.fi_mktg.core_flag_ytd,Core Flag Ytd,<p>Core Flag Ytd</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.fi_mktg.source_,Source,<p>Source</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.fi_mktg.ytd_flag,YTD Flag,<p>YTD Flag</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.fi_mktg.session_auth_type,Session Auth Type,<p>Session Auth Type</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.fi_mktg.primary_filer_latino_flag,Primary Filer Latino Flag,<p>Primary Filer Latino Flag</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.fi_mktg.post_complete_session_flag,Post Complete Session Flag,<p>Post Complete Session Flag</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.fi_mktg.company,Company,<p>Company</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.fi_mktg.remove_multidevice_flag_ytd,Multi Device Flag,<p>Multi Device Flag</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
tax_rpt.fi_mktg.revenue,Revenue,<p>Revenue</p>,N/A,,N/A,N/A,,,N/A,,,N/A,,,N/A,N/A,,restricted,N/A,N/A,N/A
